ZON_NM,DATE,px_mean,px_max
Incheon,20180712,19.7083333333,39
Incheon,20180713,9.2,16
Incheon,20180714,14.0833333333,22
Incheon,20180715,13.0833333333,27
Incheon,20180716,12.75,20
Incheon,20180717,19.875,33
Incheon,20180718,25.75,35
Incheon,20180719,18.1538461538,30
Incheon,20180720,16.7083333333,34
Incheon,20180721,17.4166666667,32
Incheon,20180722,26.4166666667,41
Incheon,20180723,17.2916666667,26
Incheon,20180724,22.1666666667,51
Incheon,20180725,23.0833333333,31
Incheon,20180726,25.5416666667,34
Incheon,20180727,24.8333333333,31
Incheon,20180728,27.5,45
Incheon,20180729,15.7083333333,22
Incheon,20180730,10.2083333333,17
Incheon,20180731,18.5416666667,30
Incheon,20180801,32.375,51
Incheon,20180802,40.875,75
Incheon,20180803,35.9583333333,60
Incheon,20180804,20.9166666667,27
Incheon,20180805,20.5416666667,26
Incheon,20180806,25.0416666667,36
Incheon,20180807,18.1666666667,33
Incheon,20180808,17.8888888889,29
Incheon,20180809,17.0416666667,28
Incheon,20180810,10.8333333333,20
Incheon,20180811,16.5416666667,25
Incheon,20180812,16.75,27
Incheon,20180813,21.8333333333,41
Incheon,20180814,15.3333333333,28
Incheon,20180815,23.8095238095,41
Incheon,20180816,13.1666666667,21
Incheon,20180817,10.6666666667,20
Incheon,20180818,14.4166666667,25
Incheon,20180819,24.7083333333,43
Incheon,20180820,32.0833333333,52
Incheon,20180821,15.2916666667,26
Incheon,20180822,20.75,49
Incheon,20180823,9.07692307692,22
Incheon,20180824,5.33333333333,12
Incheon,20180825,16.7916666667,27
Incheon,20180826,16.7916666667,31
Incheon,20180827,15.8333333333,25
Incheon,20180828,13.5833333333,32
Incheon,20180829,11.125,20
Incheon,20180830,17.4166666667,33
Incheon,20180831,16.8095238095,29
Incheon,20180901,15.0,33
Incheon,20180902,14.4166666667,30
Incheon,20180903,16.2083333333,30
Incheon,20180904,13.7916666667,26
Incheon,20180905,21.4583333333,38
Incheon,20180906,28.2916666667,60
Incheon,20180907,19.5416666667,47
Incheon,20180908,22.0,37
Incheon,20180909,22.25,39
Incheon,20180910,12.0416666667,24
Incheon,20180911,14.5833333333,33
Incheon,20180912,15.9166666667,32
Incheon,20180913,21.2083333333,39
Incheon,20180914,28.4,59
Incheon,20180915,18.15,42
Incheon,20180916,33.75,45
Incheon,20180917,20.85,32
Incheon,20180918,25.9473684211,34
Incheon,20180919,34.75,59
Incheon,20180920,16.0833333333,37
Incheon,20180921,9.375,20
Incheon,20180922,30.5833333333,57
Incheon,20180923,26.7083333333,48
Incheon,20180924,13.0833333333,28
Incheon,20180925,20.6666666667,38
Incheon,20180926,10.875,21
Incheon,20180927,9.39130434783,27
Incheon,20180928,20.625,50
Incheon,20180929,19.875,31
Incheon,20180930,17.9583333333,44
Incheon,20181001,15.4583333333,35
Incheon,20181002,22.6666666667,46
Incheon,20181003,19.875,49
Incheon,20181004,24.25,46
Incheon,20181005,9.20833333333,21
Incheon,20181006,7.08695652174,25
Incheon,20181007,26.2916666667,48
Incheon,20181008,21.7391304348,46
Incheon,20181009,26.9583333333,56
Incheon,20181010,15.5652173913,29
Incheon,20181011,15.0833333333,31
Incheon,20181012,20.375,40
Incheon,20181013,28.125,54
Incheon,20181014,27.375,55
Incheon,20181015,40.4166666667,87
Incheon,20181016,33.7083333333,55
Incheon,20181017,26.1666666667,59
Incheon,20181018,11.375,21
Incheon,20181019,20.0,41
Incheon,20181020,37.4166666667,82
Incheon,20181021,32.5,68
Incheon,20181022,33.380952381,71
Incheon,20181023,37.1666666667,63
Incheon,20181024,31.1666666667,70
Incheon,20181025,37.0416666667,69
Incheon,20181026,33.2608695652,65
Incheon,20181027,22.7083333333,61
Incheon,20181028,11.8333333333,32
Incheon,20181029,17.4583333333,34
Incheon,20181030,18.75,38
Incheon,20181031,18.2916666667,33
Jeollanam-do,20180301,34.4583333333,84
Jeollanam-do,20180302,40.5416666667,56
Jeollanam-do,20180303,36.25,75
Jeollanam-do,20180304,23.8260869565,45
Jeollanam-do,20180305,6.2,22
Jeollanam-do,20180306,15.8,41
